order,k_pct,bb_pct,single_pct,double_pct,triple_pct,hr_pct,hbp_pct
1,0.2742,0.1037,0.12788097,0.04016811,0.00409173,0.0391,0.0067
2,0.1785,0.0971,0.148374323,0.046605184,0.004747443,0.050546,0.0052
3,0.2514,0.0873,0.13904254,0.04367402,0.00444886,0.0244,0.0103
